ID,CommunityID,Bidoffer ,RichnessIndex,Proportion,AveSizePlot,Area,Plots,YoungFarmer,OldFarmer,Age,Male ,Female ,PriceHa,PricePlot,Averagesizeplot,SmallPlot,LargePlot,CWRhotspotgenus,Elevation,TransactionCost,Ecoregion1,Ecoregion2,Community ,nonGMA,GMA ,SmallFarms,FarmSize,VignaUnguiculata,VignaJuncea,EleusineCoracana,PennisetumPurpureum,SorghumBicolar ,SolanumIncanum,EleusineIndica ,Cucumis Zeyheri,OryzaLongistaminata,Richness
149,C8,27.5,5,33.3,0.5,1,2,0,1,43,0,1,27.51,13.76,0.5,1,0,1,1082,6.9,1,0,8,0,1,0,3,0,0,0,0,0,0,0,0,0,0
150,C8,55,5,40.0,2.0,2,1,0,1,45,1,0,27.51,55.02,2,0,1,1,1082,13.8,1,0,8,0,1,0,5,0,0,0,0,0,0,0,0,0,0
151,C9,366.8,5,40.0,,1,,1,0,30,1,0,374.29,,,,,2,1104,91.7,1,0,9,0,1,0,2.45,0,0,0,0,0,0,0,0,0,0
152,C9,55,5,16.7,,0.5,,0,1,57,1,0,112.29,,,,,2,1104,13.8,1,0,9,0,1,0,2.94,0,0,0,0,0,0,0,0,0,0
153,C9,64.2,5,14.3,,0.5,,1,0,33,1,0,131,,,,,2,1104,16,1,0,9,0,1,0,3.43,0,0,0,0,0,0,0,0,0,0
154,C9,275.1,5,20.0,,0.5,,1,0,25,1,0,561.43,,,,,2,1104,68.8,1,0,9,0,1,0,2.45,0,0,0,0,0,0,0,0,0,0
155,C9,183.4,5,25.0,,0.5,,1,0,33,0,1,374.29,,,,,2,1104,45.9,1,0,9,0,1,1,1.96,0,0,0,0,0,0,0,0,0,0
156,C9,275.1,5,16.7,,0.5,,0,1,46,1,0,561.43,,,,,2,1104,68.8,1,0,9,0,1,0,2.94,0,0,0,0,0,0,0,0,0,0
157,C9,82.5,5,20.0,,0.5,,0,1,48,0,1,168.43,,,,,2,1104,20.6,1,0,9,0,1,0,2.45,0,0,0,0,0,0,0,0,0,0
158,C9,275.1,5,25.0,,0.5,,0,1,37,0,1,561.43,,,,,2,1104,68.8,1,0,9,0,1,1,1.96,0,0,0,0,0,0,0,0,0,0
159,C9,183.4,5,25.0,,0.5,,1,0,30,0,1,374.29,,,,,2,1104,45.9,1,0,9,0,1,1,1.96,0,0,0,0,0,0,0,0,0,0
160,C9,321,5,12.5,,0.5,,0,1,52,0,1,655,,,,,2,1104,80.2,1,0,9,0,1,0,3.92,0,0,0,0,0,0,0,0,0,0
161,C9,321,5,14.3,,0.5,,0,1,60,1,0,655,,,,,2,1104,80.2,1,0,9,0,1,0,3.43,0,0,0,0,0,0,0,0,0,0
162,C9,73.4,5,33.3,,0.5,,0,1,58,0,1,149.71,,,,,2,1104,18.3,1,0,9,0,1,1,1.47,0,0,0,0,0,0,0,0,0,0
