Objective,ID,CommunityID,Bidoffer ,Area,Plots,YoungFarmer,OldFarmer,Age,Male ,Female ,PriceHa,PricePlot,Averagesizeplot,SmallPlot,LargePlot,CWRhotspotgenus,Elevation,TransactionCost,Ecoregion,Ecoregion1,Ecoregion2,Community ,nonGMA,GMA ,SmallFarms,FarmSize,VignaUnguiculata,VignaJuncea,EleusineCoracana,PennisetumPurpureum,SorghumBicolar ,SolanumIncanum,EleusineIndica ,Cucumis Zeyheri,OryzaLongistaminata,Richness,DecisionCells
AREA,193,C11,412.7,0.5,1,0,1,43,1,0,842.14,412.65,0.49,1,0,0,999,103.2,1,1,0,11,0,1,0,5.88,0,0,0,0,0,1,0,1,0,1,1
DIVERSITY,65,C4,55,0.3,1,1,0,30,0,1,220.08,55.02,0.25,1,0,2,990,13.8,1,1,0,4,1,0,1,1.75,1,0,0,0,0,0,0,0,0,1,1
DIVERSITY,331,C17,36.7,1,4,0,1,25,1,0,36.68,9.17,0.25,1,0,1,1250,9.2,2,0,1,17,0,1,1,2,0,0,1,1,1,1,1,0,1,7,1
DIVERSITY,404,C23,36.7,0.5,2,1,0,46,1,0,73.36,18.34,0.25,1,0,0,1174,9.2,2,0,1,23,1,0,1,2,0,0,0,0,0,1,1,0,0,2,1
DIVERSITY,409,C23,36.7,0.3,1,1,0,40,1,0,146.72,36.68,0.25,1,0,0,1174,9.2,2,0,1,23,1,0,0,5,0,0,0,0,0,1,1,0,0,2,1
EQUITABILITY,65,C4,55,0.3,1,1,0,30,0,1,220.08,55.02,0.25,1,0,2,990,13.8,1,1,0,4,1,0,1,1.75,1,0,0,0,0,0,0,0,0,1,1
EQUITABILITY,404,C23,36.7,0.5,2,1,0,46,1,0,73.36,18.34,0.25,1,0,0,1174,9.2,2,0,1,23,1,0,1,2,0,0,0,0,0,1,1,0,0,2,1
EQUITABILITY,409,C23,36.7,0.3,1,1,0,40,1,0,146.72,36.68,0.25,1,0,0,1174,9.2,2,0,1,23,1,0,0,5,0,0,0,0,0,1,1,0,0,2,1
BASIC,92,C6,64.2,2,2,1,0,25,0,1,32.75,32.1,0.98,0,1,1,847,16,1,1,0,6,1,0,0,9.8,1,0,0,0,1,1,1,0,0,4,1
AREA,69,C4,64.2,0.1,1,0,1,43,1,0,513.52,64.19,0.13,1,0,2,990,16,1,1,0,4,1,0,1,1.75,1,0,0,0,0,0,0,0,0,1,1
AREA,194,C11,412.7,0.5,1,1,0,32,1,0,842.14,412.65,0.49,1,0,0,999,103.2,1,1,0,11,0,1,0,2.45,0,0,0,0,0,1,0,1,0,1,1
DIVERSITY,69,C4,64.2,0.1,1,0,1,43,1,0,513.52,64.19,0.13,1,0,2,990,16,1,1,0,4,1,0,1,1.75,1,0,0,0,0,0,0,0,0,1,1
DIVERSITY,396,C22,36.7,0.3,1,0,1,42,1,0,146.72,36.68,0.25,1,0,1,1358,9.2,2,0,1,22,1,0,0,65,0,0,0,1,0,0,1,0,0,3,1
