Objective,ID,CommunityID,Bidoffer ,Area,Plots,YoungFarmer,OldFarmer,Age,Male ,Female ,PriceHa,PricePlot,Averagesizeplot,SmallPlot,LargePlot,CWRhotspotgenus,Elevation,TransactionCost,Ecoregion,Ecoregion1,Ecoregion2,Community ,nonGMA,GMA ,SmallFarms,FarmSize,VignaUnguiculata,VignaJuncea,EleusineCoracana,PennisetumPurpureum,SorghumBicolar ,SolanumIncanum,EleusineIndica ,Cucumis Zeyheri,OryzaLongistaminata,Richness,DecisionCells
AREA,349,C18,27.5,2,2,0,1,71,1,0,13.76,13.76,1,0,1,1,1225,6.9,2,0,1,18,0,1,0,3.75,0,0,1,0,0,0,0,0,0,1,1
AREA,330,C17,36.7,0.5,2,0,1,71,0,1,73.36,18.34,0.25,1,0,1,1250,9.2,2,0,1,17,0,1,1,2,0,0,1,1,1,1,1,0,1,7,1
AREA,18,C1,18.3,0.5,2,0,1,50,1,0,36.68,9.17,0.25,1,0,2,1237,4.6,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1
AREA,19,C2,18.3,0.5,2,0,1,42,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1
AREA,20,C2,18.3,0.5,2,0,1,67,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,0,13.75,0,0,0,0,0,0,0,0,0,0,1
AREA,21,C2,18.3,0.5,2,0,1,59,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1
AREA,22,C2,18.3,0.5,2,0,1,39,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1
AREA,23,C2,18.3,0.5,2,0,1,46,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,0,2.75,0,0,0,0,0,0,0,0,0,0,1
AREA,24,C2,18.3,0.5,2,0,1,39,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,1,1.5,0,0,0,0,0,0,0,0,0,0,1
AREA,25,C2,18.3,0.5,2,0,1,44,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,1,1.5,0,0,0,0,0,0,0,0,0,0,1
AREA,26,C2,18.3,0.5,2,0,1,42,0,1,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,1,1.5,0,0,0,0,0,0,0,0,0,0,1
AREA,27,C2,18.3,0.5,2,0,1,52,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,0,2.25,0,0,0,0,0,0,0,0,0,0,1
AREA,28,C2,18.3,0.5,2,1,0,26,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
AREA,29,C2,18.3,0.5,2,1,0,24,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,1,0.75,0,0,0,0,0,0,0,0,0,0,1
AREA,30,C2,18.3,0.5,2,0,1,38,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1
AREA,31,C2,18.3,0.5,2,0,1,54,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1
AREA,32,C2,18.3,0.5,2,0,1,41,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1
AREA,33,C2,18.3,0.5,2,0,1,44,0,1,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,0,2.5,0,0,0,0,0,0,0,0,0,0,1
AREA,34,C2,18.3,0.5,2,0,1,54,1,0,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1
AREA,35,C2,18.3,0.5,2,0,1,60,0,1,36.68,9.17,0.25,1,0,2,994,4.6,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AREA,331,C17,36.7,1,4,0,1,25,1,0,36.68,9.17,0.25,1,0,1,1250,9.2,2,0,1,17,0,1,1,2,0,0,1,1,1,1,1,0,1,7,1
DIVERSITY,344,C18,13.8,1,1,0,1,35,1,0,13.76,13.76,1,0,1,1,1225,3.4,2,0,1,18,0,1,0,2.75,0,0,1,0,0,0,0,0,0,1,1
DIVERSITY,3,C1,18.3,0.7,1,0,1,64,0,1,24.78,18.34,0,1,0,2,1237,4.6,1,1,0,1,1,0,1,1.47,0,1,1,0,0,0,0,0,0,2,1
DIVERSITY,66,C4,45.9,0.1,1,1,0,24,0,1,366.8,45.85,0.13,1,0,2,990,11.5,1,1,0,4,1,0,0,2.25,1,0,0,0,0,0,0,0,0,1,1
DIVERSITY,68,C4,45.9,0.1,1,0,1,39,0,1,366.8,45.85,0.13,1,0,2,990,11.5,1,1,0,4,1,0,1,2,1,0,0,0,0,0,0,0,0,1,1
DIVERSITY,405,C23,7.3,0.5,3,0,1,40,1,0,14.67,2.45,0.17,1,0,0,1174,1.8,2,0,1,23,1,0,0,8,0,0,0,0,0,1,1,0,0,2,1
DIVERSITY,330,C17,36.7,0.5,2,0,1,71,0,1,73.36,18.34,0.25,1,0,1,1250,9.2,2,0,1,17,0,1,1,2,0,0,1,1,1,1,1,0,1,7,1
EQUITABILITY,3,C1,18.3,0.7,1,0,1,64,0,1,24.78,18.34,0,1,0,2,1237,4.6,1,1,0,1,1,0,1,1.47,0,1,1,0,0,0,0,0,0,2,1
EQUITABILITY,345,C18,18.3,2,2,1,0,48,1,0,9.17,9.17,1,0,1,1,1225,4.6,2,0,1,18,0,1,1,1.25,0,0,1,0,0,0,0,0,0,1,1
EQUITABILITY,66,C4,45.9,0.1,1,1,0,24,0,1,366.8,45.85,0.13,1,0,2,990,11.5,1,1,0,4,1,0,0,2.25,1,0,0,0,0,0,0,0,0,1,1
EQUITABILITY,68,C4,45.9,0.1,1,0,1,39,0,1,366.8,45.85,0.13,1,0,2,990,11.5,1,1,0,4,1,0,1,2,1,0,0,0,0,0,0,0,0,1,1
EQUITABILITY,330,C17,36.7,0.5,2,0,1,71,0,1,73.36,18.34,0.25,1,0,1,1250,9.2,2,0,1,17,0,1,1,2,0,0,1,1,1,1,1,0,1,7,1
BASIC,103,C6,55,4.9,2,0,1,47,1,0,11.23,27.51,2.45,0,1,1,847,13.8,1,1,0,6,1,0,0,7.84,1,0,0,0,1,1,1,0,0,4,1
AREA,126,C8,55,1.5,4,0,1,45,1,0,36.68,13.76,0.38,1,0,1,1082,13.8,1,1,0,8,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1
AREA,127,C8,27.5,0.5,2,0,1,74,1,0,55.02,13.76,0.25,1,0,1,1082,6.9,1,1,0,8,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1
AREA,129,C8,27.5,0.5,1,0,1,49,0,1,55.02,27.51,0.5,1,0,1,1082,6.9,1,1,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1
AREA,130,C8,13.8,0.5,1,0,1,40,1,0,27.51,13.76,0.5,1,0,1,1082,3.4,1,1,0,8,0,1,0,2.5,0,0,0,0,0,0,0,0,0,0,1
AREA,131,C8,18.3,0.5,1,0,1,35,1,0,36.68,18.34,0.5,1,0,1,1082,4.6,1,1,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1
AREA,132,C8,27.5,1,2,0,1,36,0,1,27.51,13.76,0.5,1,0,1,1082,6.9,1,1,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1
AREA,133,C8,55,1.5,3,0,1,40,1,0,36.68,18.34,0.5,1,0,1,1082,13.8,1,1,0,8,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1
AREA,134,C8,55,1.5,3,0,1,37,1,0,36.68,18.34,0.5,1,0,1,1082,13.8,1,1,0,8,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1
AREA,137,C8,27.5,1,1,1,0,28,1,0,27.51,27.51,1,0,1,1,1082,6.9,1,1,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1
AREA,138,C8,32.1,1,2,0,1,42,0,1,32.1,16.05,0.5,1,0,1,1082,8,1,1,0,8,0,1,0,2.5,0,0,0,0,0,0,0,0,0,0,1
AREA,139,C8,27.5,1,1,1,0,27,0,1,27.51,27.51,1,0,1,1,1082,6.9,1,1,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1
AREA,140,C8,32.1,1.5,1,0,1,57,1,0,21.4,32.1,1.5,0,1,1,1082,8,1,1,0,8,0,1,0,4.5,0,0,0,0,0,0,0,0,0,0,1
AREA,145,C8,27.5,1,1,0,1,37,0,1,27.51,27.51,1,0,1,1,1082,6.9,1,1,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
AREA,146,C8,27.5,1,1,1,0,33,1,0,27.51,27.51,1,0,1,1,1082,6.9,1,1,0,8,0,1,0,2.5,0,0,0,0,0,0,0,0,0,0,1
AREA,147,C8,27.5,1,1,0,1,67,0,1,27.51,27.51,1,0,1,1,1082,6.9,1,1,0,8,0,1,0,2.5,0,0,0,0,0,0,0,0,0,0,1
AREA,148,C8,33,1,1,1,0,24,1,0,33.01,33.01,1,0,1,1,1082,8.3,1,1,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1
AREA,149,C8,27.5,1,2,0,1,43,0,1,27.51,13.76,0.5,1,0,1,1082,6.9,1,1,0,8,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1
AREA,150,C8,55,2,1,0,1,45,1,0,27.51,55.02,2,0,1,1,1082,13.8,1,1,0,8,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1
AREA,404,C23,36.7,0.5,2,1,0,46,1,0,73.36,18.34,0.25,1,0,0,1174,9.2,2,0,1,23,1,0,1,2,0,0,0,0,0,1,1,0,0,2,1
AREA,409,C23,36.7,0.3,1,1,0,40,1,0,146.72,36.68,0.25,1,0,0,1174,9.2,2,0,1,23,1,0,0,5,0,0,0,0,0,1,1,0,0,2,1
AREA,396,C22,36.7,0.3,1,0,1,42,1,0,146.72,36.68,0.25,1,0,1,1358,9.2,2,0,1,22,1,0,0,65,0,0,0,1,0,0,1,0,0,3,1
AREA,397,C22,36.7,0.3,1,0,1,34,1,0,146.72,36.68,0.25,1,0,1,1358,9.2,2,0,1,22,1,0,0,120,0,0,0,1,0,0,1,0,0,3,1
AREA,398,C22,36.7,0.3,1,0,1,27,1,0,146.72,36.68,0.25,1,0,1,1358,9.2,2,0,1,22,1,0,0,112,0,0,0,1,0,0,1,0,0,3,1
AREA,268,C14,18.3,4,3,0,1,26,1,0,4.59,6.11,1.33,0,1,0,1401,4.6,2,0,1,14,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1
AREA,274,C14,27.5,4,4,0,1,45,0,1,6.88,6.88,1,0,1,0,1401,6.9,2,0,1,14,0,1,0,2.25,0,0,0,0,0,0,0,0,0,0,1
AREA,100,C6,45.9,3.9,2,0,1,39,0,1,11.7,22.93,1.96,0,1,1,847,11.5,1,1,0,6,1,0,0,7.84,1,0,0,0,1,1,1,0,0,4,1
AREA,41,C3,45.9,0.3,1,0,1,45,1,0,183.4,45.85,0.25,1,0,2,970,11.5,1,1,0,3,1,0,0,2.5,1,1,1,0,0,0,0,0,0,3,1
AREA,48,C3,45.9,0.3,1,0,1,57,1,0,183.4,45.85,0.25,1,0,2,970,11.5,1,1,0,3,1,0,1,1.5,1,1,1,0,0,0,0,0,0,3,1
AREA,104,C6,45.9,1.5,3,1,0,32,1,0,31.19,15.28,0.49,1,0,1,847,11.5,1,1,0,6,1,0,0,4.9,1,0,0,0,1,1,1,0,0,4,1
AREA,312,C17,45.9,1,3,0,1,26,1,0,45.85,15.28,0.33,1,0,1,1250,11.5,2,0,1,17,0,1,1,1.5,0,0,1,1,1,1,1,0,1,7,1
AREA,333,C17,45.9,1,1,0,1,46,1,0,45.85,45.85,1,0,1,1,1250,11.5,2,0,1,17,0,1,1,2,0,0,1,1,1,1,1,0,1,7,1
AREA,4,C1,91.7,0.5,1,0,1,50,0,1,187.14,91.7,0.49,1,0,2,1237,22.9,1,1,0,1,1,0,1,0.98,0,1,1,0,0,0,0,0,0,2,1
AREA,7,C1,91.7,0.5,1,1,0,25,0,1,187.14,91.7,0.49,1,0,2,1237,22.9,1,1,0,1,1,0,1,1.47,0,1,1,0,0,0,0,0,0,2,1
AREA,14,C1,91.7,0.5,1,1,0,30,0,1,187.14,91.7,0.49,1,0,2,1237,22.9,1,1,0,1,1,0,0,2.94,0,1,1,0,0,0,0,0,0,2,1
AREA,16,C1,91.7,1,2,1,0,28,1,0,93.57,45.85,0.49,1,0,2,1237,22.9,1,1,0,1,1,0,0,3.43,0,1,1,0,0,0,0,0,0,2,1
AREA,296,C16,91.7,2,3,0,1,48,1,0,45.85,30.57,0.67,1,0,1,1262,22.9,2,0,1,16,0,1,1,2,0,0,1,0,0,0,0,0,0,1,1
AREA,295,C16,137.6,2,4,0,1,45,1,0,68.78,34.39,0.5,1,0,1,1262,34.4,2,0,1,16,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1
AREA,299,C16,137.6,3,1,0,1,30,0,1,45.85,137.55,3,0,1,1,1262,34.4,2,0,1,16,0,1,1,1.5,0,0,1,0,0,0,0,0,0,1,1
AREA,37,C3,137.6,0.5,1,0,1,44,1,0,275.1,137.55,0.5,1,0,2,970,34.4,1,1,0,3,1,0,0,2.25,1,1,1,0,0,0,0,0,0,3,1
AREA,298,C16,183.4,4,2,0,1,60,1,0,45.85,91.7,2,0,1,1,1262,45.9,2,0,1,16,0,1,0,3,0,0,1,0,0,0,0,0,0,1,1
AREA,410,C23,45.9,0.8,3,1,0,41,0,1,61.13,15.28,0.25,1,0,0,1174,11.5,2,0,1,23,1,0,0,10,0,0,0,0,0,1,1,0,0,2,1
AREA,411,C23,45.9,0.8,3,1,0,54,0,1,61.13,15.28,0.25,1,0,0,1174,11.5,2,0,1,23,1,0,0,10,0,0,0,0,0,1,1,0,0,2,1
AREA,358,C19,45.9,2,20,0,1,55,1,0,22.93,2.29,0.1,1,0,1,1381,11.5,2,0,1,19,1,0,0,120,0,0,0,1,0,0,1,0,0,2,1
AREA,392,C22,45.9,0.3,1,0,1,38,0,1,183.4,45.85,0.25,1,0,1,1358,11.5,2,0,1,22,1,0,0,60,0,0,0,1,0,0,1,0,0,3,1
AREA,313,C17,47.7,2,5,0,1,35,0,1,23.84,9.54,0.4,1,0,1,1250,11.9,2,0,1,17,0,1,1,2,0,0,1,1,1,1,1,0,1,7,1
AREA,400,C22,55,0.3,1,1,0,43,0,1,220.08,55.02,0.25,1,0,1,1358,13.8,2,0,1,22,1,0,0,12,0,0,0,1,0,0,1,0,0,3,1
AREA,103,C6,55,4.9,2,0,1,47,1,0,11.23,27.51,2.45,0,1,1,847,13.8,1,1,0,6,1,0,0,7.84,1,0,0,0,1,1,1,0,0,4,1
AREA,106,C6,55,2,2,1,0,25,1,0,28.07,27.51,0.98,0,1,1,847,13.8,1,1,0,6,1,0,0,3.92,1,0,0,0,1,1,1,0,0,4,1
AREA,92,C6,64.2,2,2,1,0,25,0,1,32.75,32.1,0.98,0,1,1,847,16,1,1,0,6,1,0,0,9.8,1,0,0,0,1,1,1,0,0,4,1
AREA,361,C19,73.4,0.3,1,0,1,56,1,0,293.44,73.36,0.25,1,0,1,1381,18.3,2,0,1,19,1,0,0,25,0,0,0,1,0,0,1,0,0,2,1
AREA,362,C19,73.4,0.3,1,1,0,28,1,0,293.44,73.36,0.25,1,0,1,1381,18.3,2,0,1,19,1,0,0,4,0,0,0,1,0,0,1,0,0,2,1
AREA,368,C19,77.9,0.3,1,0,1,40,0,1,311.78,77.95,0.25,1,0,1,1381,19.5,2,0,1,19,1,0,0,5,0,0,0,1,0,0,1,0,0,2,1
AREA,364,C19,82.5,0.3,1,0,1,38,1,0,330.12,82.53,0.25,1,0,1,1381,20.6,2,0,1,19,1,0,1,0,0,0,0,1,0,0,1,0,0,2,1
AREA,192,C11,91.7,1,1,0,1,54,1,0,93.57,91.7,0.98,0,1,0,999,22.9,1,1,0,11,0,1,0,4.9,0,0,0,0,0,1,0,1,0,1,1
AREA,196,C11,366.8,0.5,1,0,1,43,1,0,748.57,366.8,0.49,1,0,0,999,91.7,1,1,0,11,0,1,0,3.92,0,0,0,0,0,1,0,1,0,1,1
AREA,413,C24,36.7,0.3,2,0,1,49,0,1,146.72,18.34,0.13,1,0,0,1305,9.2,2,0,1,24,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
AREA,417,C24,64.2,0.5,2,0,1,36,0,1,128.38,32.1,0.25,1,0,0,1305,16,2,0,1,24,1,0,1,1.25,0,0,0,1,0,0,0,0,0,0,1
AREA,418,C24,64.2,0.3,2,1,0,43,1,0,256.76,32.1,0.13,1,0,0,1305,16,2,0,1,24,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
AREA,416,C24,68.8,0.3,3,1,0,37,0,1,275.1,22.93,0.08,1,0,0,1305,17.2,2,0,1,24,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
AREA,412,C24,73.4,0.5,3,0,1,48,1,0,146.72,24.45,0.17,1,0,0,1305,18.3,2,0,1,24,1,0,1,1.5,0,0,0,1,0,0,0,0,0,0,1
DIVERSITY,345,C18,18.3,2,2,1,0,48,1,0,9.17,9.17,1,0,1,1,1225,4.6,2,0,1,18,0,1,1,1.25,0,0,1,0,0,0,0,0,0,1,1
DIVERSITY,353,C18,18.3,2,2,0,1,45,1,0,9.17,9.17,1,0,1,1,1225,4.6,2,0,1,18,0,1,0,4.75,0,0,1,0,0,0,0,0,0,1,1
DIVERSITY,347,C18,27.5,2,2,0,1,46,0,1,13.76,13.76,1,0,1,1,1225,6.9,2,0,1,18,0,1,0,3,0,0,1,0,0,0,0,0,0,1,1
DIVERSITY,349,C18,27.5,2,2,0,1,71,1,0,13.76,13.76,1,0,1,1,1225,6.9,2,0,1,18,0,1,0,3.75,0,0,1,0,0,0,0,0,0,1,1
DIVERSITY,346,C18,27.5,2.4,2,1,0,47,1,0,11.46,13.76,1.2,0,1,1,1225,6.9,2,0,1,18,0,1,0,2.5,0,0,1,0,0,0,0,0,0,1,1
BASIC,106,C6,55,2,2,1,0,25,1,0,28.07,27.51,0.98,0,1,1,847,13.8,1,1,0,6,1,0,0,3.92,1,0,0,0,1,1,1,0,0,4,1
AREA,65,C4,55,0.3,1,1,0,30,0,1,220.08,55.02,0.25,1,0,2,990,13.8,1,1,0,4,1,0,1,1.75,1,0,0,0,0,0,0,0,0,1,1
AREA,202,C11,366.8,0.5,1,0,1,43,1,0,748.57,366.8,0.49,1,0,0,999,91.7,1,1,0,11,0,1,0,3.92,0,0,0,0,0,1,0,1,0,1,1
